rowid;name;force;level;mechanic;equipment;primaryMuscles;secondaryMuscles;instructions;category;images;id
5;Adductor;static;intermediate;isolation;foam roll;"[""adductors""]";[];"[""Lie face down with one leg on a foam roll.""; ""Rotate the leg so that the foam roll contacts against your inner thigh. Shift as much weight onto the foam roll as can be tolerated.""; ""While trying to relax the muscles if the inner thigh; roll over the foam between your hip and knee; holding points of tension for 10-30 seconds. Repeat with the other leg.""]";stretching;"[""Adductor/0.jpg""; ""Adductor/1.jpg""]";Adductor
6;Adductor/Groin;static;intermediate;;;"[""adductors""]";[];"[""Lie on your back with your feet raised towards the ceiling.""; ""Have your partner hold your feet or ankles. Abduct your legs as far as you can. This will be your starting position.""; ""Attempt to squeeze your legs together for 10 or more seconds; while your partner prevents you from doing so.""; ""Now; relax the muscles in your legs as your partner pushes your feet apart; stretching as far as is comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury.""]";stretching;"[""Adductor_Groin/0.jpg""; ""Adductor_Groin/1.jpg""]";Adductor_Groin
9;All Fours Quad Stretch;static;intermediate;;body only;"[""quadriceps""]";"[""quadriceps""]";"[""Start off on your hands and knees; then lift your leg off the floor and hold the foot with your hand.""; ""Use your hand to hold the foot or ankle; keeping the knee fully flexed; stretching the quadriceps and hip flexors.""; ""Focus on extending your hips; thrusting them towards the floor. Hold for 10-20 seconds and then switch sides.""]";stretching;"[""All_Fours_Quad_Stretch/0.jpg""; ""All_Fours_Quad_Stretch/1.jpg""]";All_Fours_Quad_Stretch
22;Ankle On The Knee;static;beginner;;;"[""glutes""]";[];"[""From a lying position; bend your knees and keep your feet on the floor.""; ""Place your ankle of one foot on your opposite knee.""; ""Grasp the thigh or knee of the bottom leg and pull both of your legs into the chest. Relax your neck and shoulders. Hold for 10-20 seconds and then switch sides.""]";stretching;"[""Ankle_On_The_Knee/0.jpg""; ""Ankle_On_The_Knee/1.jpg""]";Ankle_On_The_Knee
23;Anterior Tibialis-SMR;static;intermediate;;other;"[""calves""]";[];"[""Begin seated on the ground with your legs bent and your feet on the floor.""; ""Using a Muscle Roller or a rolling pin; apply pressure to the muscles on the outside of your shins. Work from just below the knee to above the ankle; pausing at points of tension for 10-30 seconds. Repeat on the other leg.""]";stretching;"[""Anterior_Tibialis-SMR/0.jpg""; ""Anterior_Tibialis-SMR/1.jpg""]";Anterior_Tibialis-SMR
70;Behind Head Chest Stretch;static;expert;isolation;other;"[""chest""]";"[""shoulders""]";"[""Sit upright on the floor with your partner behind you.""; ""Place your hands behind your hand; and push your elbows back as far as you can. Your partner should hold your elbows. This will be your starting position.""; ""Gently attempt to pull your elbows forward with your hands still behind your head for 10 or more seconds. Your partner should prevent your elbows from moving.""; ""Now; relax your muscles and have your partner gently pull the elbows back as far as it comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury.""]";stretching;"[""Behind_Head_Chest_Stretch/0.jpg""; ""Behind_Head_Chest_Stretch/1.jpg""]";Behind_Head_Chest_Stretch
105;Brachialis-SMR;static;intermediate;;foam roll;"[""biceps""]";[];"[""Lie on your side; with your upper arm against the foam roller. The upper arm should be more or less aligned with your body; with the outside of the bicep pressed against the foam roller.""; ""Raise your hips off of the floor; supporting your weight on your arm and on your feet. Hold for 10-30 seconds; and then switch sides.""]";stretching;"[""Brachialis-SMR/0.jpg""; ""Brachialis-SMR/1.jpg""]";Brachialis-SMR
139;Calf Stretch Elbows Against Wall;static;beginner;isolation;;"[""calves""]";[];"[""Stand facing a wall from a couple feet away.""; ""Lean against the wall; placing your weight on your forearms.""; ""Attempt to keep your heels on the ground. Hold for 10-20 seconds. You may move further or closer the wall; making it more or less difficult; respectively.""]";stretching;"[""Calf_Stretch_Elbows_Against_Wall/0.jpg""; ""Calf_Stretch_Elbows_Against_Wall/1.jpg""]";Calf_Stretch_Elbows_Against_Wall
140;Calf Stretch Hands Against Wall;static;beginner;isolation;;"[""calves""]";[];"[""Stand facing a wall from several feet away. Stagger your stance; placing one foot forward.""; ""Lean forward and rest your hands on the wall; keeping your heel; hip and head in a straight line.""; ""Attempt to keep your heel on the ground. Hold for 10-20 seconds and then switch sides.""]";stretching;"[""Calf_Stretch_Hands_Against_Wall/0.jpg""; ""Calf_Stretch_Hands_Against_Wall/1.jpg""]";Calf_Stretch_Hands_Against_Wall
141;Calves-SMR;static;intermediate;;foam roll;"[""calves""]";[];"[""Begin seated on the floor. Place a foam roller underneath your lower leg. Your other leg can either be crossed over the opposite or be placed on the floor; supporting some of your weight. This will be your starting position.""; ""Place your hands to your side or just behind you; and press down to raise your hips off of the floor; placing much of your weight against your calf muscle. Roll from below the knee to above the ankle; pausing at points of tension for 10-30 seconds. Repeat for the other leg.""]";stretching;"[""Calves-SMR/0.jpg""; ""Calves-SMR/1.jpg""]";Calves-SMR
