rowid;name;force;level;mechanic;equipment;primaryMuscles;secondaryMuscles;instructions;category;images;id
1;3/4 Felülés;pull;beginner;compound;saját testsúlyos;[3];[];"[Feküdjön le a padlóra, és rögzítse a lábát. A lábát térdre kell hajlítani. „; „Helyezze a kezét a feje mögé vagy oldalára. Kezdje hátadal a földön. Ez lesz a kiindulási pozíciód. „; „Hajlítsa meg a csípőjét és a gerincét, hogy a törzset a térd felé emelje. „; „A összehúzódás tetején a törzsnek merőlegesnek kell lennie a talajra. Fordítsa meg a mozgást; csak az út ? részén haladunk le. „; „Ismételje meg az ajánlott ismétlés mennyiségéhez.]";strength;"[""3_4_Sit-Up/0.jpg""; ""3_4_Sit-Up/1.jpg""]";3_4_Sit-Up
2;90/90 Combhajlító;push;beginner;;saját testsúlyos;[5];[10];"[Feküdj a hátadon; az egyik lábbal egyenesen kinyújtva. „; „A másik lábbal hajlítsa meg a csípőt és a térdet 90 fokra. Szükség esetén kézzel rögzítheti a lábát. Ez lesz a kiindulási pozíciód. „; „Nyújtsa ki a lábát egyenesen a levegőbe; röviden szüneteljen a tetején. Helyezze vissza a lábat a kiindulási helyzetbe. „; „Ismételje meg 10-20 ismétlést; majd váltson a másik lábra.]";stretching;"[""90_90_Hamstring/0.jpg""; ""90_90_Hamstring/1.jpg""]";90_90_Hamstring
3;Hasprés Gép;pull;intermediate;isolation;gép;[3];[];"[Válasszon fényellenállást, és üljön le az ab gépre, tegye a lábát a mellékelt párnák alá, és fogja meg a felső fogantyúkat. A karjait 90 fokos szögben kell hajlítani, miközben a tricepszet a mellékelt párnákra támasztja. Ez lesz a kiindulási pozíciód. „; „Ugyanakkor kezdjeje el felemelni a lábakat, miközben megragadja a felső törzset. Lélegezzen ki, miközben ezt a mozgást hajtja végre. Tipp: Ügyeljen arra, hogy lassú és szabályozott mozgást használjon. Koncentráljon arra, hogy hasmadával mozgassa a súlyt, miközben lazítja a lábát és a lábát. „; „Egy második szünet után; lassan térjen vissza a kiindulási helyzetbe, miközben belélegzel. „; „Ismételje meg a mozgást az előírt mennyiségű ismétléshez.]";strength;"[""Ab_Crunch_Machine/0.jpg""; ""Ab_Crunch_Machine/1.jpg""]";Ab_Crunch_Machine
4;Hasgörgő;pull;intermediate;compound;egyéb;[3];[2];"[Tartsa az Ab Roller mindkét kezével, és térdeljen a padlón. „; „Most helyezze az ab görgőt a padlóra előtted úgy, hogy minden kezén és térdre legyen (mint térdelő, felfelé toló helyzetben). Ez lesz a kiindulási pozíciód. „; „Lassan gördítse előre az ab görgőt, és húzza ki testét egyenes helyzetbe. Tipp: Menjen le, amennyire csak lehet, anélkül, hogy a testével megérintené a padlót. Lélegezzen be a mozgás ezen része alatt. „; „A kifeszített helyzetben lévő szünet után kezdjeje el visszahúzni magát a kiindulási helyzetbe, miközben kilélegzi. Tipp: Menjen lassan, és mindig tartsa szorosan a hasizát. ]";strength;"[""Ab_Roller/0.jpg""; ""Ab_Roller/1.jpg""]";Ab_Roller
5;Adduktor;static;intermediate;isolation;masszázshenger;[15];[];"[Feküdjön arccal lefelé az egyik lábával egy habtekercsre. „; „Forgassa el a lábat úgy, hogy a habtekercs érintkezzen a comb belső részével. Helyezze a habtekercsre annyi súlyt, amennyit el lehet tolerálni. „; „Miközben megpróbálja ellazítani az izmokat, ha a comb belső része; gördítse át a habot a csípő és a térd között; tartsa a feszültségpontokat 10-30 másodpercig. Ismételje meg a másik lábbal.”";stretching;"[""Adductor/0.jpg""; ""Adductor/1.jpg""]";Adductor
6;Adduktor/Lágyék;static;intermediate;;;[15];[];"[Feküdj a hátadon a mennyezet felé emelt lábával. „; „Kérje meg partnerét, hogy tartsa a lábát vagy a bokáját. Elrabolja a lábát, amennyire csak lehet. Ez lesz a kiindulási pozíciód. „; „Próbálja meg összenyomni a lábát 10 vagy több másodpercig; míg a partnere megakadályozza ezt. „; „Most; lazítsa el a lábad izmait, miközben a partnere széttolja a lábát; nyújtson olyan messzire, amennyire kényelmes az Ön számára. Ügyeljen arra, hogy tudassa partnerét, hogy a nyújtás megfelelő-e a túlnyújtás vagy a sérülések megelőzéséhez.";stretching;"[""Adductor_Groin/0.jpg""; ""Adductor_Groin/1.jpg""]";Adductor_Groin
7;Haladó Kettlebell Szélmalom;push;intermediate;isolation;Kettlebell;[3];"[13; 5; 2]";"[Tisztítsa meg és nyomja meg a vízforralót az egyik karral. „; „A vízforralót mindig zárva tartva; nyomja ki a fenekét a zárt vízforraló irányába. Tartsa a nem működő karot a háta mögött, és fordítsa ki lábát negyvenöt fokos szögben a kartól a vízforralóval. „; „Amennyire csak lehetséges, engedje le magát. „; „Szüneteljen egy másodpercre, és fordítsa vissza a mozgást a kiindulási helyzetbe.]";strength;"[""Advanced_Kettlebell_Windmill/0.jpg""; ""Advanced_Kettlebell_Windmill/1.jpg""]";Advanced_Kettlebell_Windmill
8;Air Bike;pull;beginner;compound;saját testsúlyos;[3];[];"[Feküdjön laposan a padlón, a hát alsó részét a földhöz nyomva. Ehhez a gyakorlathoz; a kezét a feje mellé kell tennie. Vigyázzon azonban, hogy ne feszítse meg a nyakát, miközben végrehajtja. Most emelje fel a vállát a ropogós helyzetbe. „; „Helyezze fel a térdeket oda, ahol merőlegesek a padlóra; az alsó lábakkal párhuzamosan a padlóval. Ez lesz a kiindulási pozíciód. „; „Most egyszerre; lassan menjen végig egy kerékpáros pedálmozdulaton, amely előre rúgva a jobb lábbal és a bal láb térdét hozza be. A jobb könyökét oldalra ropogva közelítse a bal térdéhez; amikor kilélegzel. „; „Menj vissza a kezdjeeti helyzetbe, amikor belélegzel. „; „A lábad kerékpározása közben az ellenkező oldalra görgessen, és közelebb hozza a bal könyökét a jobb térdéhez, és kilélegezzen. „; „Folytassa a váltakozást ilyen módon, amíg az összes ajánlott ismétlés be nem fejeződik mindkét oldalon.]";strength;"[""Air_Bike/0.jpg""; ""Air_Bike/1.jpg""]";Air_Bike
9;Négykézláb Combnyújtás;static;intermediate;;saját testsúlyos;[1];[1];"[Kezdje a kezével és térdével; majd emelje fel a lábát a padlóról, és tartsa a lábát a kezével. „; „A kezével tartsa a lábát vagy a bokáját; tartsa a térdet teljesen hajlítva; nyújtsa ki a quadriceps és a csípőhajlítókat. „; „Összpontosítson a csípő kinyújtására; a padló felé nyomja őket. Tartsa 10-20 másodpercig, majd váltson oldalt. ]";stretching;"[""All_Fours_Quad_Stretch/0.jpg""; ""All_Fours_Quad_Stretch/1.jpg""]";All_Fours_Quad_Stretch
10;Váltott Kalapács Bicepsz;pull;beginner;isolation;kézisúlyzó;[7];[12];"[Álljon fel a törzsével egyenesen, és mindkét kezében egy súlyzóval, karhosszban tartva. A könyöknek közel kell lennie a törzshez. „; „A tenyerének a törzseddel kell néznie. Ez lesz a kiindulási pozíciód. „; „Miközben a felkarot álló helyzetben tartja; hajlítsa előre a jobb súlyt, miközben a bicepszet összehúzza, miközben kilélegzi. Folytassa a mozgást, amíg a bicepsz teljesen össze nem húzódik, és a súlyzók vállszinten vannak. A bicepsz összenyomása közben tartsa egy másodpercig az összehúzott helyzetet. Tipp: Csak az alkaroknak kell mozogniuk. „; „Lassan kezdjeje el visszahozni a súlyzókat a kiindulási helyzetbe, amikor belélegzed. „; „Ismételje meg a mozgást a bal kezével. Ez egyenlő egy ismétléssel. „; „Folytassa a váltakozást ilyen módon az ajánlott ismétlések mennyiségéhez.]";strength;"[""Alternate_Hammer_Curl/0.jpg""; ""Alternate_Hammer_Curl/1.jpg""]";Alternate_Hammer_Curl
11;Váltott Sarkérintés;pull;beginner;isolation;saját testsúlyos;[3];[];"[Feküdjön a padlón hajlított térddel és a lábakkal a padlón 18-24 hüvelyk távolságra egymástól. A karjait az oldaladhoz kell nyújtani. Ez lesz a kiindulási pozíciód. „; „Csavarodjon előre és felfelé, körülbelül 3-4 hüvelyk a jobb oldalra, és érintse meg a jobb sarkát, miközben egy másodpercig tartja a összehúzódást. Lélegezzen ki a mozgás végrehajtása közben. „; „Most lélegezés közben lassan menjen vissza a kiindulási helyzetbe. „; „Most görgessen előre és felfelé a törzsén körülbelül 3-4 hüvelyk bal oldalra, és érintse meg a bal sarkát, miközben egy másodpercig tartja a összehúzódást. A mozgás végrehajtása közben lélegezzen ki, majd belélegezés közben térjen vissza a kiindulási helyzetbe. Most, hogy mindkét sarkot megérintették; ezt 1 ismétlésnek tekintjük. „; „Folytassa a váltakozó oldalakat ilyen módon, amíg az összes előírt ismétlés meg nem történik.]";strength;"[""Alternate_Heel_Touchers/0.jpg""; ""Alternate_Heel_Touchers/1.jpg""]";Alternate_Heel_Touchers
12;Váltott Ferde Pados Kézi Bicepsz;pull;beginner;isolation;kézisúlyzó;[7];[12];"[Üljön le egy lejtős padra, mindkét kezében egy súlyzó tartva karhosszban. Tipp: Tartsa a könyöket a törzs közelében. Ez lesz a kiindulási helyzeted. „; „Miközben a felkarot álló helyzetben tartja; hajlítsa előre a jobb súlyt, miközben a bicepszet összehúzza, miközben kilélegzi. Ennek során forgassa el a kezét úgy, hogy a tenyér felfelé nézzen. Folytassa a mozgást, amíg a bicepsz teljesen össze nem húzódik, és a súlyzók vállszinten vannak. A bicepsz összenyomása közben tartsa egy másodpercig az összehúzott helyzetet. Tipp: Csak az alkaroknak kell mozogniuk. „; „Lassan kezdjeje el visszahozni a súlyzót a kiindulási helyzetbe, amikor belélegzed. „; „Ismételje meg a mozgást a bal kezével. Ez egyenlő egy ismétléssel. „; „Folytassa a váltakozást ilyen módon az ajánlott ismétlések mennyiségéhez.]";strength;"[""Alternate_Incline_Dumbbell_Curl/0.jpg""; ""Alternate_Incline_Dumbbell_Curl/1.jpg""]";Alternate_Incline_Dumbbell_Curl
13;Váltott Átlós Lábugrás;push;beginner;compound;;[1];"[16; 15; 10; 13; 5]";"[Foglaljon kényelmes állást az egyik lábbal kissé a másik előtt. „; „Kezdje úgy, hogy az első lábbal tolja le; az ellenkező térdet előre és a lehető legmagasabbra húzza a leszállás előtt. Próbáljon meg mindkét oldaltól annyi távolságot megtenni minden kötéssel. „; „Segíthet, ha a földön lévő vonalat használunk a távolság egyik oldalról a másikra történő megváltoztatására. „; „Ismételje meg a sorozatot a másik lábbal.]";plyometrics;"[""Alternate_Leg_Diagonal_Bound/0.jpg""; ""Alternate_Leg_Diagonal_Bound/1.jpg""]";Alternate_Leg_Diagonal_Bound
14;Váltott Kábel Vállnyomás;push;beginner;compound;kábel;[2];[6];"[Mozgassa a kábeleket a torony aljára, és válasszaa ki a megfelelő súlyt. „; „Fogja meg a kábeleket, és tartsa őket vállmagasságban; tenyér előre néz. Ez lesz a kiindulási pozíciód. „; „A fejét és a mellkasát felfelé tartva; nyújtsa ki a könyökön keresztül, hogy az egyik oldalát közvetlenül a fej fölé nyomja. „; „Miután szünetelt a tetején; térjen vissza a kiindulási helyzetbe, és ismételje meg az ellenkező oldalon.]";strength;"[""Alternating_Cable_Shoulder_Press/0.jpg""; ""Alternating_Cable_Shoulder_Press/1.jpg""]";Alternating_Cable_Shoulder_Press
